ふりがな,エピソード,名前,アイドルタイプ,ドミナントアイドルタイプ,マイスタイル,レア度,特技レベル,レベル,親愛度,ボーカル,ダンス,ビジュアル,ライフ,ボイス,ソロ,入手枠,登録日,センター効果,センター効果説明,特技,特技説明
いぶさんたくろーす,［Ｎ］イヴ・サンタクロース＋,イヴ・サンタクロース,パッション,非該当,FALSE,ノーマル＋,0,30,60,3483,1880,2273,22,TRUE,FALSE,恒常,'2016年11月9日',非該当,非該当,非該当,非該当
へれん,［Ｎ］ヘレン＋,ヘレン,クール,非該当,FALSE,ノーマル＋,0,30,60,2478,2751,2522,26,FALSE,FALSE,恒常,'2017年1月10日',非該当,非該当,非該当,非該当
あいのなぎさ,［Ｎ］愛野渚＋,愛野渚,パッション,非該当,FALSE,ノーマル＋,0,30,60,2531,2737,2488,26,FALSE,FALSE,恒常,'2016年7月8日',非該当,非該当,非該当,非該当
あんざいみやこ,［Ｎ］安斎都＋,安斎都,キュート,非該当,FALSE,ノーマル＋,0,30,60,3495,2266,1868,22,FALSE,FALSE,恒常,'2016年8月9日',非該当,非該当,非該当,非該当
よりたよしの,［Ｎ］依田芳乃＋,依田芳乃,パッション,非該当,FALSE,ノーマル＋,0,30,60,2531,2737,2488,26,TRUE,FALSE,恒常,'2016年1月9日',非該当,非該当,非該当,非該当
いちのせしき,［Ｎ］一ノ瀬志希＋,一ノ瀬志希,キュート,非該当,FALSE,ノーマル＋,0,30,60,2384,2408,2525,22,TRUE,FALSE,恒常,'2015年9月3日',非該当,非該当,非該当,非該当
しおみしゅうこ,［Ｎ］塩見周子＋,塩見周子,クール,非該当,FALSE,ノーマル＋,0,30,60,3700,1705,2164,22,TRUE,FALSE,恒常,'2015年9月3日',非該当,非該当,非該当,非該当
おくやまさおり,［Ｎ］奥山沙織＋,奥山沙織,キュート,非該当,FALSE,ノーマル＋,0,30,60,3522,2252,1846,22,FALSE,FALSE,恒常,'2015年9月3日',非該当,非該当,非該当,非該当
よこやまちか,［Ｎ］横山千佳＋,横山千佳,キュート,非該当,FALSE,ノーマル＋,0,30,60,2239,3549,1826,22,FALSE,FALSE,恒常,'2015年11月9日',非該当,非該当,非該当,非該当
おとくらゆうき,［Ｎ］乙倉悠貴＋,乙倉悠貴,キュート,非該当,FALSE,ノーマル＋,0,30,60,2709,2510,2543,26,TRUE,FALSE,恒常,'2016年5月9日',非該当,非該当,非該当,非該当
せきひろみ,［Ｎ］関裕美＋,関裕美,キュート,非該当,FALSE,ノーマル＋,0,30,60,3501,2264,1863,22,TRUE,FALSE,恒常,'2016年4月8日',非該当,非該当,非該当,非該当
きしべあやか,［Ｎ］岸部彩華＋,岸部彩華,クール,非該当,FALSE,ノーマル＋,0,30,60,2764,2465,2515,26,FALSE,FALSE,恒常,'2016年10月9日',非該当,非該当,非該当,非該当
きたみゆず,［Ｎ］喜多見柚＋,喜多見柚,パッション,非該当,FALSE,ノーマル＋,0,30,60,2225,1804,3577,22,TRUE,FALSE,恒常,'2015年12月8日',非該当,非該当,非該当,非該当
よしおかさき,［Ｎ］吉岡沙紀＋,吉岡沙紀,クール,非該当,FALSE,ノーマル＋,0,30,60,2266,1868,3495,22,FALSE,FALSE,恒常,'2016年7月8日',非該当,非該当,非該当,非該当
たちばなありす,［Ｎ］橘ありす＋,橘ありす,クール,非該当,FALSE,ノーマル＋,0,30,60,3482,2272,1880,22,TRUE,FALSE,恒常,'2015年9月3日',非該当,非該当,非該当,非該当
ひさかわなぎ,［Ｎ］久川凪＋,久川凪,パッション,非該当,FALSE,ノーマル＋,0,30,60,2219,1792,3591,22,TRUE,FALSE,恒常,'2019年4月2日',非該当,非該当,非該当,非該当
ひさかわはやて,［Ｎ］久川颯＋,久川颯,クール,非該当,FALSE,ノーマル＋,0,30,60,1836,2246,3537,22,TRUE,FALSE,恒常,'2019年4月2日',非該当,非該当,非該当,非該当
おいかわしずく,［Ｎ］及川雫＋,及川雫,パッション,非該当,FALSE,ノーマル＋,0,30,60,2287,1900,3455,22,TRUE,FALSE,恒常,'2015年9月3日',非該当,非該当,非該当,非該当
きりのあや,［Ｎ］桐野アヤ＋,桐野アヤ,クール,非該当,FALSE,ノーマル＋,0,30,60,1858,3510,2260,22,FALSE,FALSE,恒常,'2016年8月9日',非該当,非該当,非該当,非該当
こがこはる,［Ｎ］古賀小春＋,古賀小春,キュート,非該当,FALSE,ノーマル＋,0,30,60,2573,2806,2526,22,TRUE,FALSE,恒常,'2016年9月9日',非該当,非該当,非該当,非該当
いがらしきょうこ,［Ｎ］五十嵐響子＋,五十嵐響子,キュート,非該当,FALSE,ノーマル＋,0,30,60,3549,1826,2239,22,TRUE,FALSE,恒常,'2015年10月6日',非該当,非該当,非該当,非該当
えがみつばき,［Ｎ］江上椿＋,江上椿,キュート,非該当,FALSE,ノーマル＋,0,30,60,1826,3549,2239,22,FALSE,FALSE,恒常,'2016年12月9日',非該当,非該当,非該当,非該当
あらきひな,［Ｎ］荒木比奈＋,荒木比奈,クール,非該当,FALSE,ノーマル＋,0,30,60,2225,3576,1804,22,TRUE,FALSE,恒常,'2015年9月3日',非該当,非該当,非該当,非該当
たかもりあいこ,［Ｎ］高森藍子＋,高森藍子,パッション,非該当,FALSE,ノーマル＋,0,30,60,2577,2565,2641,26,TRUE,FALSE,恒常,'2015年9月3日',非該当,非該当,非該当,非該当
くろさきちとせ,［Ｎ］黒埼ちとせ＋,黒埼ちとせ,キュート,非該当,FALSE,ノーマル＋,0,30,60,2219,1792,3591,22,TRUE,FALSE,恒常,'2019年2月28日',非該当,非該当,非該当,非該当
くろかわちあき,［Ｎ］黒川千秋＋,黒川千秋,クール,非該当,FALSE,ノーマル＋,0,30,60,2694,2628,2617,22,FALSE,FALSE,恒常,'2015年11月9日',非該当,非該当,非該当,非該当
いまいかな,［Ｎ］今井加奈＋,今井加奈,キュート,非該当,FALSE,ノーマル＋,0,30,60,1900,2288,3455,22,FALSE,FALSE,恒常,'2016年1月9日',非該当,非該当,非該当,非該当
ささきちえ,［Ｎ］佐々木千枝＋,佐々木千枝,クール,非該当,FALSE,ノーマル＋,0,30,60,2653,2571,2553,26,TRUE,FALSE,恒常,'2015年9月3日',非該当,非該当,非該当,非該当
すなづかあきら,［Ｎ］砂塚あきら＋,砂塚あきら,クール,非該当,FALSE,ノーマル＋,0,30,60,1792,2219,3591,22,TRUE,FALSE,恒常,'2019年4月12日',非該当,非該当,非該当,非該当
さえじまきよみ,［Ｎ］冴島清美＋,冴島清美,パッション,非該当,FALSE,ノーマル＋,0,30,60,2584,2735,2608,22,FALSE,FALSE,恒常,'2017年1月10日',非該当,非該当,非該当,非該当
さぎさわふみか,［Ｎ］鷺沢文香＋,鷺沢文香,クール,非該当,FALSE,ノーマル＋,0,30,60,2246,1836,3537,22,TRUE,FALSE,恒常,'2015年10月6日',非該当,非該当,非該当,非該当
みふねみゆ,［Ｎ］三船美優＋,三船美優,クール,非該当,FALSE,ノーマル＋,0,30,60,2577,2565,2641,26,TRUE,FALSE,恒常,'2015年12月8日',非該当,非該当,非該当,非該当
みむらかなこ,［Ｎ］三村かな子＋,三村かな子,キュート,非該当,FALSE,ノーマル＋,0,30,60,2266,3495,1868,22,TRUE,FALSE,恒常,'2015年9月3日',非該当,非該当,非該当,非該当
うじいえむつみ,［Ｎ］氏家むつみ＋,氏家むつみ,クール,非該当,FALSE,ノーマル＋,0,30,60,3564,2233,1814,22,FALSE,FALSE,恒常,'2016年5月9日',非該当,非該当,非該当,非該当
もちだありさ,［Ｎ］持田亜里沙＋,持田亜里沙,キュート,非該当,FALSE,ノーマル＋,0,30,60,2239,1826,3549,22,FALSE,FALSE,恒常,'2016年3月9日',非該当,非該当,非該当,非該当
しゅとうあおい,［Ｎ］首藤葵＋,首藤葵,パッション,非該当,FALSE,ノーマル＋,0,30,60,3577,1804,2225,22,FALSE,FALSE,恒常,'2016年3月9日',非該当,非該当,非該当,非該当
おがたちえり,［Ｎ］緒方智絵里＋,緒方智絵里,キュート,非該当,FALSE,ノーマル＋,0,30,60,2608,2584,2734,22,TRUE,FALSE,恒常,'2015年9月3日',非該当,非該当,非該当,非該当
こひなたみほ,［Ｎ］小日向美穂＋,小日向美穂,キュート,非該当,FALSE,ノーマル＋,0,30,60,2233,1814,3563,22,TRUE,FALSE,恒常,'2015年9月3日',非該当,非該当,非該当,非該当
まつやまくみこ,［Ｎ］松山久美子＋,松山久美子,パッション,非該当,FALSE,ノーマル＋,0,30,60,2616,2722,2594,22,FALSE,FALSE,恒常,'2015年10月6日',非該当,非該当,非該当,非該当
まつおちづる,［Ｎ］松尾千鶴＋,松尾千鶴,クール,非該当,FALSE,ノーマル＋,0,30,60,3555,1819,2237,22,FALSE,FALSE,恒常,'2016年9月9日',非該当,非該当,非該当,非該当
まつもとさりな,［Ｎ］松本沙理奈＋,松本沙理奈,クール,非該当,FALSE,ノーマル＋,0,30,60,1749,2191,3645,22,FALSE,FALSE,恒常,'2015年9月3日',非該当,非該当,非該当,非該当
かみじょうはるな,［Ｎ］上条春菜＋,上条春菜,クール,非該当,FALSE,ノーマル＋,0,30,60,2576,2626,2585,26,TRUE,FALSE,恒常,'2015年9月3日',非該当,非該当,非該当,非該当
うえだすずほ,［Ｎ］上田鈴帆＋,上田鈴帆,パッション,非該当,FALSE,ノーマル＋,0,30,60,2270,3489,1873,22,TRUE,FALSE,恒常,'2016年4月8日',非該当,非該当,非該当,非該当
にったみなみ,［Ｎ］新田美波＋,新田美波,クール,非該当,FALSE,ノーマル＋,0,30,60,2593,2722,2616,22,TRUE,FALSE,恒常,'2015年9月3日',非該当,非該当,非該当,非該当
まなべいつき,［Ｎ］真鍋いつき＋,真鍋いつき,パッション,非該当,FALSE,ノーマル＋,0,30,60,1804,2225,3577,22,FALSE,FALSE,恒常,'2016年12月9日',非該当,非該当,非該当,非該当
かみやなお,［Ｎ］神谷奈緒＋,神谷奈緒,クール,非該当,FALSE,ノーマル＋,0,30,60,2627,2679,2638,22,TRUE,FALSE,恒常,'2015年9月3日',非該当,非該当,非該当,非該当
みずもとゆかり,［Ｎ］水本ゆかり＋,水本ゆかり,キュート,非該当,FALSE,ノーマル＋,0,30,60,3685,1717,2170,22,TRUE,FALSE,恒常,'2015年9月3日',非該当,非該当,非該当,非該当
みずきせいら,［Ｎ］水木聖來＋,水木聖來,クール,非該当,FALSE,ノーマル＋,0,30,60,1831,3543,2243,22,FALSE,FALSE,恒常,'2016年2月8日',非該当,非該当,非該当,非該当
すぎさかうみ,［Ｎ］杉坂海＋,杉坂海,パッション,非該当,FALSE,ノーマル＋,0,30,60,1846,2252,3522,22,FALSE,FALSE,恒常,'2016年5月9日',非該当,非該当,非該当,非該当
なるみやゆめ,［Ｎ］成宮由愛＋,成宮由愛,クール,非該当,FALSE,ノーマル＋,0,30,60,2560,2594,2763,22,FALSE,FALSE,恒常,'2016年4月8日',非該当,非該当,非該当,非該当
ほししょうこ,［Ｎ］星輝子＋,星輝子,パッション,非該当,FALSE,ノーマル＋,0,30,60,2669,2564,2543,26,TRUE,FALSE,恒常,'2015年9月3日',非該当,非該当,非該当,非該当
さいとうようこ,［Ｎ］斉藤洋子＋,斉藤洋子,パッション,非該当,FALSE,ノーマル＋,0,30,60,2764,2515,2465,26,FALSE,FALSE,恒常,'2016年6月9日',非該当,非該当,非該当,非該当
あかぎみりあ,［Ｎ］赤城みりあ＋,赤城みりあ,パッション,非該当,FALSE,ノーマル＋,0,30,60,3658,2185,1737,22,TRUE,FALSE,恒常,'2015年9月3日',非該当,非該当,非該当,非該当
かわしまみずき,［Ｎ］川島瑞樹＋,川島瑞樹,クール,非該当,FALSE,ノーマル＋,0,30,60,1858,2260,3509,22,TRUE,FALSE,恒常,'2015年9月3日',非該当,非該当,非該当,非該当
あさりななみ,［Ｎ］浅利七海＋,浅利七海,クール,非該当,FALSE,ノーマル＋,0,30,60,2250,1841,3528,22,TRUE,FALSE,恒常,'2016年6月9日',非該当,非該当,非該当,非該当
あいかわちなつ,［Ｎ］相川千夏＋,相川千夏,クール,非該当,FALSE,ノーマル＋,0,30,60,1890,3467,2279,22,FALSE,FALSE,恒常,'2015年9月3日',非該当,非該当,非該当,非該当
そうまなつみ,［Ｎ］相馬夏美＋,相馬夏美,パッション,非該当,FALSE,ノーマル＋,0,30,60,2212,1781,3604,22,FALSE,FALSE,恒常,'2016年8月9日',非該当,非該当,非該当,非該当
あいばゆみ,［Ｎ］相葉夕美＋,相葉夕美,パッション,非該当,FALSE,ノーマル＋,0,30,60,1695,3712,2158,22,TRUE,FALSE,恒常,'2015年9月3日',非該当,非該当,非該当,非該当
ただりいな,［Ｎ］多田李衣菜＋,多田李衣菜,クール,非該当,FALSE,ノーマル＋,0,30,60,3603,1781,2212,22,TRUE,FALSE,恒常,'2015年9月3日',非該当,非該当,非該当,非該当
おおたゆう,［Ｎ］太田優＋,太田優,キュート,非該当,FALSE,ノーマル＋,0,30,60,2763,2594,2560,22,FALSE,FALSE,恒常,'2016年7月8日',非該当,非該当,非該当,非該当
おおはらみちる,［Ｎ］大原みちる＋,大原みちる,キュート,非該当,FALSE,ノーマル＋,0,30,60,2260,3510,1858,22,FALSE,FALSE,恒常,'2016年6月9日',非該当,非該当,非該当,非該当
おおつきゆい,［Ｎ］大槻唯＋,大槻唯,パッション,非該当,FALSE,ノーマル＋,0,30,60,2178,3672,1727,22,TRUE,FALSE,恒常,'2015年9月3日',非該当,非該当,非該当,非該当
たかふじかこ,［Ｎ］鷹富士茄子＋,鷹富士茄子,クール,非該当,FALSE,ノーマル＋,0,30,60,2708,2605,2622,22,TRUE,FALSE,恒常,'2016年12月9日',非該当,非該当,非該当,非該当
さわだまりな,［Ｎ］沢田麻理菜＋,沢田麻理菜,パッション,非該当,FALSE,ノーマル＋,0,30,60,1841,3528,2250,22,FALSE,FALSE,恒常,'2016年9月9日',非該当,非該当,非該当,非該当
にわひとみ,［Ｎ］丹羽仁美＋,丹羽仁美,キュート,非該当,FALSE,ノーマル＋,0,30,60,2225,1804,3577,22,FALSE,FALSE,恒常,'2017年1月10日',非該当,非該当,非該当,非該当
なかのゆか,［Ｎ］中野有香＋,中野有香,キュート,非該当,FALSE,ノーマル＋,0,30,60,2613,2592,2587,26,TRUE,FALSE,恒常,'2015年9月3日',非該当,非該当,非該当,非該当
ながとみはすみ,［Ｎ］長富蓮実＋,長富蓮実,キュート,非該当,FALSE,ノーマル＋,0,30,60,2252,3522,1846,22,FALSE,FALSE,恒常,'2016年10月9日',非該当,非該当,非該当,非該当
しいなのりこ,［Ｎ］椎名法子＋,椎名法子,キュート,非該当,FALSE,ノーマル＋,0,30,60,2707,2622,2605,22,TRUE,FALSE,恒常,'2015年9月3日',非該当,非該当,非該当,非該当
つじのあかり,［Ｎ］辻野あかり＋,辻野あかり,キュート,非該当,FALSE,ノーマル＋,0,30,60,1836,2246,3537,22,TRUE,FALSE,恒常,'2019年4月10日',非該当,非該当,非該当,非該当
まとばりさ,［Ｎ］的場梨沙＋,的場梨沙,パッション,非該当,FALSE,ノーマル＋,0,30,60,2791,2579,2538,22,TRUE,FALSE,恒常,'2016年2月8日',非該当,非該当,非該当,非該当
とうごうあい,［Ｎ］東郷あい＋,東郷あい,クール,非該当,FALSE,ノーマル＋,0,30,60,2681,2558,2533,26,FALSE,FALSE,恒常,'2016年3月9日',非該当,非該当,非該当,非該当
むなかたあつみ,［Ｎ］棟方愛海＋,棟方愛海,キュート,非該当,FALSE,ノーマル＋,0,30,60,2522,2751,2478,26,TRUE,FALSE,恒常,'2016年2月8日',非該当,非該当,非該当,非該当
ふじわらはじめ,［Ｎ］藤原肇＋,藤原肇,クール,非該当,FALSE,ノーマル＋,0,30,60,1846,3522,2252,22,TRUE,FALSE,恒常,'2016年1月9日',非該当,非該当,非該当,非該当
ふじもとりな,［Ｎ］藤本里奈＋,藤本里奈,キュート,非該当,FALSE,ノーマル＋,0,30,60,2206,1771,3618,22,TRUE,FALSE,恒常,'2015年9月3日',非該当,非該当,非該当,非該当
くさかべわかば,［Ｎ］日下部若葉＋,日下部若葉,キュート,非該当,FALSE,ノーマル＋,0,30,60,2751,2522,2478,26,FALSE,FALSE,恒常,'2016年11月9日',非該当,非該当,非該当,非該当
しらゆきちよ,［Ｎ］白雪千夜＋,白雪千夜,キュート,非該当,FALSE,ノーマル＋,0,30,60,3495,1868,2266,22,TRUE,FALSE,恒常,'2019年2月28日',非該当,非該当,非該当,非該当
ひいらぎしの,［Ｎ］柊志乃＋,柊志乃,クール,非該当,FALSE,ノーマル＋,0,30,60,2538,2579,2791,22,FALSE,FALSE,恒常,'2016年11月9日',非該当,非該当,非該当,非該当
ひめかわゆき,［Ｎ］姫川友紀＋,姫川友紀,パッション,非該当,FALSE,ノーマル＋,0,30,60,1836,3536,2245,22,TRUE,FALSE,恒常,'2015年9月3日',非該当,非該当,非該当,非該当
はまかわあゆな,［Ｎ］浜川愛結奈＋,浜川愛結奈,パッション,非該当,FALSE,ノーマル＋,0,30,60,2572,2601,2750,22,FALSE,FALSE,恒常,'2016年10月9日',非該当,非該当,非該当,非該当
ふくやままい,［Ｎ］福山舞＋,福山舞,キュート,非該当,FALSE,ノーマル＋,0,30,60,1759,3630,2198,22,FALSE,FALSE,恒常,'2015年9月3日',非該当,非該当,非該当,非該当
かたぎりさなえ,［Ｎ］片桐早苗＋,片桐早苗,パッション,非該当,FALSE,ノーマル＋,0,30,60,2628,2617,2693,22,TRUE,FALSE,恒常,'2015年9月3日',非該当,非該当,非該当,非該当
ほりゆうこ,［Ｎ］堀裕子＋,堀裕子,パッション,非該当,FALSE,ノーマル＋,0,30,60,1791,2218,3591,22,TRUE,FALSE,恒常,'2015年9月3日',非該当,非該当,非該当,非該当
ゆめみりあむ,［Ｎ］夢見りあむ＋,夢見りあむ,パッション,非該当,FALSE,ノーマル＋,0,30,60,2233,1814,3564,22,TRUE,FALSE,恒常,'2019年4月15日',非該当,非該当,非該当,非該当
きむらなつき,［Ｎ］木村夏樹＋,木村夏樹,パッション,非該当,FALSE,ノーマル＋,0,30,60,3549,1825,2239,22,TRUE,FALSE,恒常,'2015年9月3日',非該当,非該当,非該当,非該当
やぐちみう,［Ｎ］矢口美羽＋,矢口美羽,パッション,非該当,FALSE,ノーマル＋,0,30,60,3510,2260,1858,22,FALSE,FALSE,恒常,'2015年11月9日',非該当,非該当,非該当,非該当
りゅうざきかおる,［Ｎ］龍崎薫＋,龍崎薫,パッション,非該当,FALSE,ノーマル＋,0,30,60,2665,2644,2640,22,TRUE,FALSE,恒常,'2015年9月3日',非該当,非該当,非該当,非該当
さくらいももか,［Ｎ］櫻井桃華＋,櫻井桃華,キュート,非該当,FALSE,ノーマル＋,0,30,60,2750,2601,2572,22,TRUE,FALSE,恒常,'2015年12月8日',非該当,非該当,非該当,非該当
あなすたしあ,［Ｒ］アナスタシア＋,アナスタシア,クール,非該当,FALSE,レア＋,10,50,150,3189,3184,3207,32,TRUE,FALSE,恒常,'2015年9月3日',クールエナジー,クールアイドルのライフ10%アップ,ライフ回復,9秒毎、低確率で少しの間、PERFECTでライフ2回復
きゃしーぐらはむ,［Ｒ］キャシー・グラハム＋,キャシー・グラハム,パッション,非該当,FALSE,レア＋,10,50,150,2667,4862,3210,29,FALSE,FALSE,恒常,'2016年11月9日',パッションステップ,パッションアイドルのダンスアピール値30%アップ,SCOREボーナス,9秒毎、低確率でかなりの間、PERFECTのスコア10%アップ
くらりす,［Ｒ］クラリス＋,クラリス,キュート,非該当,FALSE,レア＋,10,50,150,2565,4759,3104,29,FALSE,FALSE,恒常,'2015年10月31日',キュートステップ,キュートアイドルのダンスアピール値30%アップ,SCOREボーナス,6秒毎、低確率で少しの間、PERFECTのスコア10%アップ
けいと,［Ｒ］ケイト＋,ケイト,クール,非該当,FALSE,レア＋,10,50,150,3617,3860,3567,29,FALSE,FALSE,恒常,'2016年7月10日',クールブリリアンス,クールアイドルの全アピール値10%アップ,SCOREボーナス,7秒毎、低確率でしばらくの間、PERFECTのスコア10%アップ
なたーりあ,［Ｒ］ナターリア＋,ナターリア,パッション,非該当,FALSE,レア＋,10,50,150,4713,3127,2601,29,TRUE,FALSE,恒常,'2015年9月3日',パッションボイス,パッションアイドルのボーカルアピール値30%アップ,COMBOボーナス,9秒毎、低確率でかなりの間、COMBOボーナス8%アップ
めありーこくらん,［Ｒ］メアリー・コクラン＋,メアリー・コクラン,パッション,非該当,FALSE,レア＋,10,50,150,4928,2428,3020,29,FALSE,FALSE,恒常,'2015年10月31日',パッションボイス,パッションアイドルのボーカルアピール値30%アップ,SCOREボーナス,7秒毎、低確率でしばらくの間、PERFECTのスコア10%アップ
らいら,［Ｒ］ライラ＋,ライラ,クール,非該当,FALSE,レア＋,10,50,150,2545,4835,3101,29,FALSE,FALSE,恒常,'2016年1月22日',クールステップ,クールアイドルのダンスアピール値30%アップ,SCOREボーナス,7秒毎、低確率でしばらくの間、PERFECTのスコア10%アップ
あやせほのか,［Ｒ］綾瀬穂乃香＋,綾瀬穂乃香,クール,非該当,FALSE,レア＋,10,50,150,3106,4751,2570,29,FALSE,FALSE,恒常,'2015年9月3日',クールステップ,クールアイドルのダンスアピール値30%アップ,COMBOボーナス,7秒毎、低確率でしばらくの間、COMBOボーナス8%アップ
あべなな,［Ｒ］安部菜々＋,安部菜々,キュート,非該当,FALSE,レア＋,10,50,150,3567,3689,3587,29,TRUE,FALSE,恒常,'2015年9月3日',キュートエナジー,キュートアイドルのライフ10%アップ,PERFECTサポート,9秒毎、低確率で少しの間、GREATをPERFECTにする
いじゅういんめぐみ,［Ｒ］伊集院惠＋,伊集院惠,クール,非該当,FALSE,レア＋,10,50,150,4888,2646,3198,29,FALSE,FALSE,恒常,'2016年11月11日',クールボイス,クールアイドルのボーカルアピール値30%アップ,SCOREボーナス,7秒毎、低確率でしばらくの間、PERFECTのスコア10%アップ
いむらせつな,［Ｒ］井村雪菜＋,井村雪菜,キュート,非該当,FALSE,レア＋,10,50,150,4789,2581,3124,29,FALSE,FALSE,恒常,'2015年12月21日',キュートボイス,キュートアイドルのボーカルアピール値30%アップ,SCOREボーナス,7秒毎、低確率でしばらくの間、PERFECTのスコア10%アップ
えとうみさき,［Ｒ］衛藤美紗希＋,衛藤美紗希,パッション,非該当,FALSE,レア＋,10,50,150,3705,3562,3586,32,FALSE,FALSE,恒常,'2016年7月10日',パッションエナジー,パッションアイドルのライフ10%アップ,ライフ回復,9秒毎、低確率で少しの間、PERFECTでライフ2回復
おかざきやすは,［Ｒ］岡崎泰葉＋,岡崎泰葉,クール,非該当,FALSE,レア＋,10,50,150,3824,3371,3445,32,FALSE,FALSE,恒常,'2016年1月31日',クールエナジー,クールアイドルのライフ10%アップ,ライフ回復,9秒毎、低確率で少しの間、PERFECTでライフ2回復
えびはらなほ,［Ｒ］海老原菜帆＋,海老原菜帆,パッション,非該当,FALSE,レア＋,10,50,150,3198,4888,2646,29,FALSE,FALSE,恒常,'2016年10月22日',パッションステップ,パッションアイドルのダンスアピール値30%アップ,COMBOボーナス,6秒毎、低確率で少しの間、COMBOボーナス8%アップ
まなかみさと,［Ｒ］間中美里＋,間中美里,キュート,非該当,FALSE,レア＋,10,50,150,2685,3234,4897,29,FALSE,FALSE,恒常,'2016年12月17日',キュートメイク,キュートアイドルのビジュアルアピール値30%アップ,SCOREボーナス,7秒毎、低確率でしばらくの間、PERFECTのスコア10%アップ
